ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
AZFc,GO:0006631,fatty acid metabolic process,25/406,390/18723,1.52E-06,0.000838194,0.000736634,LONP2/ACSL1/FADS1/LYPLA1/HACD2/ASAH1/ACADM/ABHD6/ALDH3A2/PCCB/MSMO1/PHYH/HADHB/GPX4/GSTP1/ACAT1/HADHA/HACD3/TECR/ALKBH7/GPX1/C3/PDK4/EPHX1/GSTA1,25
AZFc,GO:0061077,chaperone-mediated protein folding,10/406,67/18723,1.70E-06,0.000838194,0.000736634,HSPH1/CHORDC1/DNAJB6/HSPE1/FKBP1A/DNAJB1/HSPA5/CCT2/HSPA8/HSPB1,10
AZFc,GO:0008202,steroid metabolic process,22/406,319/18723,1.99E-06,0.000875144,0.000769107,SOD1/CYP51A1/ASAH1/EBP/HSD17B11/DKKL1/LAMTOR1/ABCA5/MSMO1/ACAT1/LIMA1/SCARB1/DHCR7/APOE/TM7SF2/MT3/DHCR24/FDX1/CYB5R3/CYP11A1/STAR/CYP17A1,22
AZFc,GO:0052548,regulation of endopeptidase activity,26/406,432/18723,3.01E-06,0.000982086,0.000863091,PDCD6/PSMD14/VCP/BIN1/PRDX3/TNFSF10/EFNA1/LXN/ANP32B/SPINK2/DNAJB6/HIP1/RHOA/HSPE1/HERPUD1/SERPINF1/CTSH/BEX3/DPEP1/GPX1/PEBP1/PERP/C3/MT3/DHCR24/HSPD1,26
AZFc,GO:0140534,endoplasmic reticulum protein-containing complex,13/423,125/19550,3.23E-06,0.000403355,0.000327585,VCP/HSP90B1/SPTLC1/DDOST/RPN1/SEC11C/DERL2/HM13/FKBP1A/HSPA5/TAPBP/RHBDD2/SPTSSA,13
iNOA_B,GO:0005775,vacuolar lumen,40/921,174/19550,3.47E-17,2.13E-14,1.61E-14,GALC/PTGES2/NEU1/LIPA/DPP7/ASAH1/VCP/CREG1/HEXB/PA2G4/CCT2/CTSD/TPP1/LAMP2/TUBB4B/PLD3/CTSB/VAT1/LGMN/GLB1/PRELP/PRDX6/ACTR10/CHID1/SDCBP/CCT8/GRN/NSG1/CTSL/C3/CTSA/TUBB/PSAP/NPC2/FTL/HSPA8/CD74/ANXA2/CYB5R3/LUM,40
iNOA_B,GO:0005759,mitochondrial matrix,67/921,480/19550,1.19E-15,2.69E-13,2.03E-13,HIBCH/FH/ISCA1/GFM1/CS/GRPEL1/MRRF/DAP3/HADH/BCKDK/BCAT2/GSTZ1/PRDX5/POLDIP2/HMGCL/HIBADH/HAGH/ATP5F1A/PYCR2/FDXR/DLD/ALDH2/IDH3B/SOD2/ALKBH7/ALDH6A1/NAXD/ACAA2/HSPE1/ERAL1/ISCA2/C1QBP/ETFA/GSTK1/PDSS2/TXN2/NDUFA10/TRUB2/ACAT1/HSPA9/VDAC2/MMAB/PCCB/IDH3G/GPX1/OAT/ATP5F1C/PPA2/NDUFA9/DECR1/ALAS1/TSFM/NDUFS2/TUFM/ECHS1/PDHB/ATP5PB/HSPD1/MDH2/ATP5F1B/ACSM3/PDK4/HADHB/FDX1/SLC25A5/CYP11A1/PRDX3,67
iNOA_B,GO:0034774,secretory granule lumen,53/921,322/19550,1.31E-15,2.69E-13,2.03E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0060205,cytoplasmic vesicle lumen,53/921,325/19550,1.96E-15,3.01E-13,2.27E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0031983,vesicle lumen,53/921,327/19550,2.55E-15,3.13E-13,2.37E-13,XRCC6/B2M/DBNL/PRDX4/PTGES2/SCCPDH/NEU1/GPI/DPP7/PSMA5/ARMC8/VCP/QSOX1/NIT2/PSMB7/DERA/CREG1/HEXB/PA2G4/PSMD11/PSMD13/CSNK2B/CCT2/CTSD/SERPING1/PGAM1/PSMD14/PGM2/TUBB4B/VAT1/HSP90AB1/GLB1/PRDX6/ACTR10/SDCBP/IMPDH2/CCT8/GRN/C3/CTSA/TUBB/EEF1A1/ILF2/TEX264/IDH1/NPC2/FTL/LGALS3BP/HSPA8/CLU/ANXA2/CTSH/CYB5R3,53
iNOA_B,GO:0005766,primary lysosome,32/921,155/19550,1.19E-12,1.05E-10,7.91E-11,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3,32
iNOA_B,GO:0042582,azurophil granule,32/921,155/19550,1.19E-12,1.05E-10,7.91E-11,LPCAT1/SURF4/PTGES2/DPP7/VCP/CMTM6/CREG1/HEXB/PA2G4/CCT2/LAMP2/TUBB4B/TMEM179B/LAMTOR1/VAT1/GLB1/PRDX6/ACTR10/RAB5C/SDCBP/CCT8/GRN/C3/CTSA/TUBB/PSAP/DDOST/NPC2/FTL/ANXA2/MGST1/CYB5R3,32
iNOA_B,GO:0101002,ficolin-1-rich granule,35/921,185/19550,1.55E-12,1.19E-10,8.97E-11,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/LAMP2/PGM2/TMEM179B/LAMTOR1/CTSB/COPB1/HSP90AB1/GLB1/CD55/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/ATP6AP2/RHOA/HSPA8/CTSH,35
iNOA_B,GO:1904813,ficolin-1-rich granule lumen,28/921,124/19550,3.09E-12,2.11E-10,1.60E-10,HSPA1B/XRCC6/DBNL/PRDX4/GPI/ASAH1/PSMA5/VCP/PSMB7/DERA/PSMD11/PSMD13/CSNK2B/CTSD/PGAM1/PSMD14/PGM2/CTSB/HSP90AB1/GLB1/ACTR10/IMPDH2/CCT8/EEF1A1/ILF2/IDH1/HSPA8/CTSH,28
iNOA_B,GO:0006631,fatty acid metabolic process,53/887,390/18723,4.32E-12,1.14E-08,1.02E-08,THNSL2/HACL1/DECR2/ECHDC2/CRYL1/PTGES2/ACSL1/HADH/SCD/ASAH1/PLP1/DLD/AKR1C3/INSIG1/SCP2/ALKBH7/CBR1/ACAA2/ETFA/ABHD6/FABP3/ELOVL1/FADS1/ECI2/ACAT1/SLC25A17/ADIPOR1/HACD2/ANXA1/SCD5/PCCB/GPX1/PHYH/TECR/DEGS1/ALDH3A2/DECR1/GSTM4/C3/APPL2/LYPLA1/ELOVL5/ECHS1/CD74/HACD3/MSMO1/ACSM3/PDK4/HADHB/AKR1B1/ECH1/GSTA1/EPHX1,53
iNOA_B,GO:0006091,generation of precursor metabolites and energy,61/887,490/18723,4.71E-12,1.14E-08,1.02E-08,FH/SLC25A4/DHRS3/CS/CIAPIN1/GHITM/UGP2/GPI/NIPSNAP2/MYC/ENO1/HMGCL/VCP/NDUFV1/ATP5F1A/FDXR/DLD/DERA/ALDH2/IDH3B/TALDO1/PGAM1/ETFA/PHB2/UQCRC1/UQCRFS1/GNPDA1/NDUFA10/QDPR/ACAT1/SDHA/UQCRC2/IDH3G/DEGS1/ATP5F1C/NDUFA9/AKR7A2/NDUFB5/NDUFS2/MT3/CYC1/IDH1/SDHD/STEAP4/PDHB/MDH1/ATP5PB/SDHC/TKT/PGK1/LDHA/RHOA/MDH2/STOML2/ATP5F1B/COX7A2L/CYB5A/FDX1/AKR1B1/HSD17B6/TPI1,61
iNOA_B,GO:1902652,secondary alcohol metabolic process,30/887,147/18723,9.34E-12,1.51E-08,1.35E-08,SQLE/FDPS/ABCA5/SOAT1/HSD17B7/FDXR/IDH3B/SNX17/INSIG1/ACAA2/IDI1/HMGCR/IDH3G/LDLR/SCARB1/MT3/EBP/IDH1/NPC2/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/CYB5R3/CYP11A1/STAR,30
iNOA_B,GO:0006694,steroid biosynthetic process,32/887,173/18723,2.97E-11,3.61E-08,3.22E-08,SQLE/FDPS/HSD17B7/ASAH1/DKKL1/FDXR/AKR1C3/HSD17B3/INSIG1/SCP2/ACAA2/IDI1/HMGCR/HSD3B2/SCARB1/EBP/HSD17B11/ERG28/HMGCS1/SC5D/MSMO1/DHCR24/FDFT1/TM7SF2/DHCR7/FDX1/AKR1B1/HSD17B6/CYB5R3/CYP11A1/STAR/CYP17A1,32
iNOA_B,GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",27/906,124/18368,5.22E-11,3.90E-08,3.33E-08,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6,27
iNOA_B,GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",28/906,136/18368,9.35E-11,3.90E-08,3.33E-08,DHRS3/CRYL1/HADH/HSD17B7/DHRS7B/HIBADH/AKR1C3/HSD17B3/IDH3B/CBR1/RDH11/LDHC/HMGCR/IDH3G/IMPDH2/HSD3B2/ALDH3A2/LDHB/AKR7A2/IDH1/GRHPR/HSD17B11/MDH1/LDHA/MDH2/HADHB/AKR1B1/HSD17B6,28
iNOA_S,GO:0006091,generation of precursor metabolites and energy,33/411,490/18723,1.27E-08,4.78E-05,4.33E-05,ENO1/NDUFS2/ACADM/NDUFB2/CIAPIN1/QDPR/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/AKR1B1/ASPH/COX7A2/UQCC2/SDHA/NDUFA8/COX17/PDHB/DLD/SUCLG1/TPI1/UQCR10/IDH1/ACAT1/ISCU/UGP2/COX7A2L/MT3/FDX1/CYB5A/HSD17B6,33
iNOA_S,GO:0009060,aerobic respiration,19/411,189/18723,3.85E-08,5.83E-05,5.28E-05,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/BNIP3/COX7A2/UQCC2/SDHA/NDUFA8/PDHB/DLD/SUCLG1/UQCR10/IDH1/ISCU/COX7A2L,19
iNOA_S,GO:0006694,steroid biosynthetic process,18/411,173/18723,5.18E-08,5.83E-05,5.28E-05,CYP51A1/SC5D/AKR1B1/DKKL1/OSBPL3/SOD1/HSD3B2/EBP/SCARB1/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/HSD17B6/STAR/CYP17A1,18
iNOA_S,GO:0022900,electron transport chain,18/411,175/18723,6.19E-08,5.83E-05,5.28E-05,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/NDUFAB1/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L/FDX1/CYB5A/HSD17B6,18
iNOA_S,GO:0005759,mitochondrial matrix,31/432,480/19550,1.09E-07,2.47E-05,2.16E-05,HIBADH/GRPEL1/NDUFS2/ACADM/PRDX5/PDSS2/ATP5F1E/NDUFAB1/PPA2/SOD2/UQCC2/HAGH/GPX1/PDHB/TSFM/SOD1/DLD/SUCLG1/PCCB/ACAT1/ISCU/HADHB/ALKBH7/SLC25A5/PRDX3/ALAS1/HSPD1/HSPE1/ACSM3/FDX1/CYP11A1,31
iNOA_S,GO:0043186,P granule,7/432,20/19550,1.48E-07,2.47E-05,2.16E-05,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL,7
iNOA_S,GO:0060293,germ plasm,7/432,20/19550,1.48E-07,2.47E-05,2.16E-05,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL,7
iNOA_S,GO:1902652,secondary alcohol metabolic process,16/411,147/18723,1.54E-07,0.000115724,0.000104893,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/IDH1/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR,16
iNOA_S,GO:0045495,pole plasm,7/432,21/19550,2.18E-07,2.73E-05,2.38E-05,SNRPG/PIWIL2/HENMT1/CARHSP1/TDRD1/DDX4/MAEL,7
iNOA_S,GO:0009055,electron transfer activity,15/425,126/18368,2.26E-07,0.000150891,0.000138889,NDUFS2/NDUFB2/CIAPIN1/QDPR/COX5B/AKR1B1/ASPH/COX7A2/SDHA/NDUFA8/UQCR10/COX7A2L/FDX1/CYB5A/HSD17B6,15
iNOA_S,GO:0008203,cholesterol metabolic process,15/411,137/18723,3.48E-07,0.000218385,0.000197946,LIMA1/CYP51A1/SC5D/ABCA5/SOD1/EBP/SCARB1/MT3/DHCR7/TM7SF2/FDX1/DHCR24/CYB5R3/CYP11A1/STAR,15
iNOA_S,GO:1904874,positive regulation of telomerase RNA localization to Cajal body,6/411,15/18723,4.57E-07,0.000238385,0.000216075,CCT4/CCT6A/NOP10/CCT3/CCT5/CCT2,6
iNOA_S,GO:0006119,oxidative phosphorylation,15/411,141/18723,5.07E-07,0.000238385,0.000216075,NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/ATP5MF/COX7A2/UQCC2/SDHA/NDUFA8/DLD/UQCR10/ISCU/COX7A2L,15
iNOA_S,GO:0016209,antioxidant activity,12/425,86/18368,6.57E-07,0.000219714,0.000202238,PRDX5/SOD2/PRDX2/TXNRD1/MGST1/GPX1/SOD1/GLRX/PRDX3/MT3/GPX3/GSTA1,12
iNOA_S,GO:0005743,mitochondrial inner membrane,30/432,495/19550,6.76E-07,6.77E-05,5.90E-05,GRPEL1/APOO/NDUFS2/NDUFB2/ATP5PF/COX5B/ATP5F1E/NDUFAB1/MTX2/SLC25A39/MTCH2/ATP5MF/TIMM8B/COX7A2/SLC8B1/UQCC2/SDHA/NDUFA8/HSD3B2/UQCR10/HADHB/CABS1/SLC25A5/COX7A2L/HSPD1/MPC2/CLU/CYP11A1/TMEM70/STAR,30
KS,GO:0006091,generation of precursor metabolites and energy,60/864,490/18723,4.80E-12,1.29E-08,1.13E-08,NDUFS1/MDH1/TPI1/LDHA/CCNB1/STAT3/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/FDXR/SUCLA2/COX7A2/COX5B/AKR1B1/NDUFAB1/GFPT1/CIAPIN1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/COX17/DNAJC15/IFNAR1/ATP5PF/ETFA/NDUFB5/ENO1/PDHB/ATP5F1C/SUCLG1/ACAT1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1/FDX1/CYB5A/STEAP4/HSD17B6,60
KS,GO:0015980,energy derivation by oxidation of organic compounds,46/864,318/18723,5.42E-12,1.29E-08,1.13E-08,NDUFS1/MDH1/CCNB1/SORBS1/CISD1/HMGB1/SELENOS/SUCLG2/NDUFB2/CYCS/IL6ST/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/GFPT1/COQ10B/NDUFA4/NDUFA8/PARK7/ACADM/PHKB/NDUFA12/BNIP3/HIF1A/DNAJC15/IFNAR1/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/UGP2/COX7A2L/MT3/UQCR10/IDH1,46
KS,GO:0009060,aerobic respiration,34/864,189/18723,7.83E-12,1.29E-08,1.13E-08,NDUFS1/MDH1/CCNB1/SUCLG2/NDUFB2/CYCS/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/NDUFA4/NDUFA8/PARK7/NDUFA12/BNIP3/HIF1A/DNAJC15/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10/IDH1,34
KS,GO:0045333,cellular respiration,37/864,230/18723,2.93E-11,3.61E-08,3.17E-08,NDUFS1/MDH1/CCNB1/CISD1/SUCLG2/NDUFB2/CYCS/MSH2/NNT/ISCU/GHITM/SUCLA2/COX7A2/COX5B/NDUFAB1/COQ10B/NDUFA4/NDUFA8/PARK7/NDUFA12/BNIP3/HIF1A/DNAJC15/IFNAR1/ATP5PF/NDUFB5/PDHB/ATP5F1C/SUCLG1/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10/IDH1,37
KS,GO:0045296,cadherin binding,45/888,332/18368,3.81E-10,3.30E-07,2.92E-07,ZC3H15/LDHA/FNBP1L/DDX6/TWF1/CTTN/CAPZB/FLNB/MYH9/HSPA5/CHMP2B/HSPA8/USO1/SH3GLB1/EPCAM/DHX29/GLOD4/PARK7/TMOD3/ITGB1/PSMB6/CCT8/RDX/ARHGAP18/CKAP5/ENO1/CLINT1/TJP1/EIF2A/EIF4G2/UBAP2/RAN/MAPRE1/SLK/BZW1/YWHAE/LIMA1/KTN1/CNN3/EIF5/EZR/CD46/KRT18/IDH1/CTNNAL1,45
KS,GO:0006694,steroid biosynthetic process,29/864,173/18723,1.52E-09,1.48E-06,1.30E-06,ERLIN1/SOD1/HSD17B3/HSD17B11/ASAH1/FDXR/FDFT1/AKR1B1/ACAA2/DKKL1/OSBPL3/CYP51A1/HSD3B2/SCARB1/IDI1/EBP/HMGCR/SC5D/SQLE/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/HSD17B6/MSMO1/CYP11A1/DHCR24/CYP17A1,29
KS,GO:0046034,ATP metabolic process,38/864,277/18723,1.80E-09,1.48E-06,1.30E-06,NDUFS1/CLPX/TPI1/LDHA/CCNB1/STAT3/NDUFB2/CYCS/MSH2/HSPA8/ISCU/GHITM/COX7A2/COX5B/ATP5MC1/NDUFAB1/NDUFA4/NDUFA8/DNM1L/PARK7/NDUFA12/HIF1A/ATP6V1A/PARP1/LDHC/DNAJC15/ATP5PF/NDUFB5/ENO1/ATP5F1C/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/TMSB4X/COX7A2L/UQCR10,38
KS,GO:0005759,mitochondrial matrix,53/895,480/19550,2.88E-09,1.83E-06,1.40E-06,NDUFS1/CLPX/ISCA1/CCNB1/TFAM/PPM1K/SDHAF3/GFM1/SUCLG2/SOD1/RARS2/TXN2/HIBCH/PDSS2/VDAC1/ISCU/HAGH/FDXR/PPA2/SUCLA2/NDUFAB1/ACAA2/TRNT1/TSFM/PARK7/ACADM/DAP3/GRPEL1/DNAJC15/ETFA/REXO2/PDHB/SOD2/ATP5F1C/SUCLG1/ACAT1/UQCC2/HADHA/PDK4/ATP5PB/DLD/ATP5F1E/HADHB/PCCB/SLC25A5/DECR1/HSPE1/PRDX3/HSPD1/ALAS1/FDX1/ACSM3/CYP11A1,53
KS,GO:1902652,secondary alcohol metabolic process,26/864,147/18723,3.30E-09,2.09E-06,1.83E-06,ERLIN1/SOD1/FDXR/FDFT1/ACAA2/SOAT1/CYP51A1/ABCA5/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/IDH1/FDX1/TM7SF2/MSMO1/CYP11A1/DHCR24,26
KS,GO:0008203,cholesterol metabolic process,25/864,137/18723,3.39E-09,2.09E-06,1.83E-06,ERLIN1/SOD1/FDXR/FDFT1/ACAA2/SOAT1/CYP51A1/ABCA5/SCARB1/LIMA1/IDI1/LDLR/EBP/HMGCR/SC5D/SQLE/MT3/DHCR7/CYB5R3/HMGCS1/FDX1/TM7SF2/MSMO1/CYP11A1/DHCR24,25
KS,GO:0006119,oxidative phosphorylation,25/864,141/18723,6.26E-09,3.43E-06,3.01E-06,NDUFS1/CCNB1/NDUFB2/CYCS/MSH2/ISCU/GHITM/COX7A2/COX5B/NDUFAB1/NDUFA4/NDUFA8/PARK7/NDUFA12/DNAJC15/ATP5PF/NDUFB5/ATP5F1C/ATP5MF/UQCC2/ATP5PB/DLD/ATP5F1E/COX7A2L/UQCR10,25
KS,GO:0005741,mitochondrial outer membrane,30/895,205/19550,1.77E-08,4.04E-06,3.09E-06,FUNDC1/OPA1/MTX2/ACSL1/CISD1/APOO/NME1/VDAC1/ACSL3/MGST1/LPIN1/STMP1/SH3GLB1/ACSL4/WASF1/DNM1L/BNIP3/TOMM34/IMMT/MAOA/PGRMC1/ASS1/HADHB/IFI27/MT3/CYB5R3/PLA2G2A/MGARP/GJA1/CYB5A,30
KS,GO:0031968,organelle outer membrane,32/895,230/19550,2.06E-08,4.04E-06,3.09E-06,FUNDC1/OPA1/MTX2/ACSL1/CISD1/APOO/NME1/VDAC1/ACSL3/MGST1/LPIN1/STMP1/SH3GLB1/SYNE2/ACSL4/WASF1/DNM1L/BNIP3/TOMM34/IMMT/MAOA/PGRMC1/ASS1/HADHB/IFI27/MT3/DHCR7/CYB5R3/PLA2G2A/MGARP/GJA1/CYB5A,32
KS,GO:0016126,sterol biosynthetic process,16/864,64/18723,2.24E-08,1.11E-05,9.70E-06,ERLIN1/SOD1/FDFT1/ACAA2/CYP51A1/IDI1/EBP/HMGCR/SC5D/SQLE/DHCR7/CYB5R3/HMGCS1/TM7SF2/MSMO1/DHCR24,16
KS,GO:0019867,outer membrane,32/895,232/19550,2.54E-08,4.04E-06,3.09E-06,FUNDC1/OPA1/MTX2/ACSL1/CISD1/APOO/NME1/VDAC1/ACSL3/MGST1/LPIN1/STMP1/SH3GLB1/SYNE2/ACSL4/WASF1/DNM1L/BNIP3/TOMM34/IMMT/MAOA/PGRMC1/ASS1/HADHB/IFI27/MT3/DHCR7/CYB5R3/PLA2G2A/MGARP/GJA1/CYB5A,32
